portal.uea.ac.uk/postgraduate-research/personal-and-professional-development/doctoral-training-changes-faq,"[['doctoral', 'training', 'changes', 'faq', 'uea']]"
portal.uea.ac.uk/buyers-guide/feedback-and-enquiries,"[['sign', 'in']]"
portal.uea.ac.uk/help-centre/getting-around-campus,"[['getting', 'around', 'campus', 'uea']]"
portal.uea.ac.uk/en/vco,"[['vice', 'chancellors', 'office', 'uea']]"
portal.uea.ac.uk/multifaith/contact-us,"[['contact', 'us', 'uea']]"
portal.uea.ac.uk/en/search,"[['search', 'uea', 'uea']]"
portal.uea.ac.uk/accommodation/undergraduate,"[['undergraduate', 'accommodation', 'uea']]"
portal.uea.ac.uk/estates/maintenance,"[['maintenance', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/student-counselling/crisis-information,"[['crisis', 'information', 'uea']]"
portal.uea.ac.uk/arm/campus-news/internal-communications/school-ebulletins,"[['school', 'e', 'bulletins', 'uea']]"
portal.uea.ac.uk/en/staff-mobility/agreed-teaching-staff-links,"[['agreed', 'teaching', 'staff', 'links', 'uea']]"
portal.uea.ac.uk/finance/creditors,"[['creditors', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/paying-for-your-accommodation,"[['paying', 'for', 'your', 'accommodation', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/counselling/annual-report,"[['annual', 'report', 'uea']]"
portal.uea.ac.uk/en/csed,"[['csed', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/about,"[['people', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/what-to-do-if...,"[['what', 'to', 'do', 'if', 'uea']]"
portal.uea.ac.uk/library,"[['library', 'uea']]"
portal.uea.ac.uk/en/staffassociation,"[['staff', 'association', 'uea']]"
portal.uea.ac.uk/planningoffice/sro,"[['student', 'records', 'office', 'uea']]"
portal.uea.ac.uk/estates/estates-improvements/-/asset_publisher/PDZaWYXFWAVg/content/uea-awarded-green-flag-for-camp-3,"[['uea', 'awarded', 'green', 'flag', 'for', 'campus', 'estates', 'improvements', 'uea']]"
portal.uea.ac.uk/finance/forms,"[['finance', 'forms', 'uea']]"
portal.uea.ac.uk/student-support-service/international-students/success/appointments,"[['appointments', 'uea']]"
portal.uea.ac.uk/planningoffice/student-surveys,"[['student', 'surveys', 'uea']]"
